NASA PHOTO NO.|photo_num|mag_number|mag_code|film_type|revolution_num|alt_km|sun_elevation|lens_mm|camera_tilt|camera_azimuth|principal_lat|principal_long|description
150-23002|23002|150|LL|SO-368|25|112|25|250|06|005|19.9 N|31.8 E|APOLLO 17 LANDING SITE, E OF
150-23003|23003|150|LL|SO-368|25|112|25|250|06|008|20.0 N|31.4 E|APOLLO 17 LANDING SITE
150-23004|23004|150|LL|SO-368|25|112|25|250|08|008|20.1 N|31.0 E|APOLLO 17 LANDING SITE
150-23005|23005|150|LL|SO-368|25|112|25|250|08|008|20.1 N|30.8 E|APOLLO 17 LANDING SITE
150-23006|23006|150|LL|SO-368|25|112|24|250|09|008|20.2 N|30.4 E|APOLLO 17 LANDING SITE
150-23007|23007|150|LL|SO-368|25|112|24|250|08|009|20.2 N|30.3 E|APOLLO 17 LANDING SITE, W OF
150-23008|23008|150|LL|SO-368|25|112|24|250|09|016|20.3 N|30.3 E|APOLLO 17 LANDING SITE, W OF
150-23053|23053|150|LL|SO-368|28|113|36|80|19|183|17.1 N|39.8 E|PROCLUS D, E, FRANZ
150-23054|23054|150|LL|SO-368|28|113|35|80|04|188|18.2 N|38.6 E|MARALDI M
150-23055|23055|150|LL|SO-368|28|112|34|80|10|191|18.1 N|37.5 E|MARALDI D
150-23056|23056|150|LL|SO-368|28|112|33|80|10|190|18.1 N|36.7 E|MARALDI D, E, F
150-23057|23057|150|LL|SO-368|28|112|32|80|15|191|17.9 N|35.2 E|MARALDI D, E, VITRUVIUS A
150-23058|23058|150|LL|SO-368|28|111|31|80|13|198|18.2 N|34.1 E|MARALDI E, VITRUVIUS A
150-23059|23059|150|LL|SO-368|28|111|30|80|14|197|18.2 N|33.4 E|VITRUVIUS A
150-23060|23060|150|LL|SO-368|28|111|29|80|12|186|18.4 N|32.5 E|VITRUVIUS A
150-23061|23061|150|LL|SO-368|28|111|28|80|18|182|18.1 N|31.3 E|VITRUVIUS
151-23218|23218|151|OO|SO-368|38|111|36|250|36|322|20.2 N|30.4 E|APOLLO 17 LANDING SITE
151-23250|23250|151|OO|SO-368|56|112|12|250|52|352|20.0 N|30.7 E|APOLLO 17 LANDING SITE
151-23251|23251|151|OO|SO-368|56|112|15|250|52|007|20.2 N|30.8 E|APOLLO 17 LANDING SITE
151-23252|23252|151|OO|SO-368|56|112|14|250|52|000|20.2 N|30.6 E|APOLLO 17 LANDING SITE
151-23253|23253|151|OO|SO-368|56|112|13|250|52|002|20.2 N|30.5 E|APOLLO 17 LANDING SITE
151-23254|23254|151|OO|SO-368|56|112|13|250|52|014|20.1 N|30.6 E|APOLLO 17 LANDING SITE
151-23255|23255|151|OO|SO-368|56|112|14|250|52|017|20.2 N|30.5 E|APOLLO 17 LANDING SITE
151-23262|23262|151|OO|SO-368|64|112|58|250|54|325|20.5 N|30.8 E|APOLLO 17 LANDING SITE
151-23263|23263|151|OO|SO-368|64|112|58|250|53|325|20.4 N|30.7 E|APOLLO 17 LANDING SITE
151-23264|23264|151|OO|SO-368|64|112|58|250|52|323|20.1 N|30.5 E|APOLLO 17 LANDING SITE
153-23475|23475|153|MM|SO-368|29|113|35|250|55|354|24.2 N|39.9 E|MACROBIUS M, ROMER U, V
153-23476|23476|153|MM|SO-368|29|113|34|250|57|353|24.8 N|39.3 E|ROMER E, N, P, U, V
153-23477|23477|153|MM|SO-368|29|113|35|250|50|352|23.0 N|39.0 E|ROMER U, V
153-23478|23478|153|MM|SO-368|29|113|34|250|52|354|23.6 N|38.7 E|ROMER U, V
153-23479|23479|153|MM|SO-368|29|113|34|250|51|354|23.2 N|38.3 E|ROMER J
153-23480|23480|153|MM|SO-368|29|113|34|250|45|355|22.4 N|38.0 E|ROMER J
153-23481|23481|153|MM|SO-368|29|112|34|250|45|354|22.5 N|37.5 E|ROMER J
153-23482|23482|153|MM|SO-368|29|112|33|250|43|342|22.0 N|36.4 E|ROMER K
153-23483|23483|153|MM|SO-368|29|112|32|250|41|336|21.7 N|35.5 E|ROMER K, S OF
153-23484|23484|153|MM|SO-368|29|112|31|250|43|333|21.9 N|34.8 E|LITTROW F
153-23485|23485|153|MM|SO-368|29|112|31|250|44|332|22.0 N|34.1 E|LITTROW F
153-23486|23486|153|MM|SO-368|29|112|29|250|54|325|23.4 N|32.0 E|LITTROW A, D
153-23487|23487|153|MM|SO-368|29|112|28|250|59|334|25.0 N|31.8 E|LITTROW D, LE MONNIER
153-23488|23488|153|MM|SO-368|29|112|28|250|57|332|24.6 N|31.5 E|LITTROW D, LE MONNIER
153-23489|23489|153|MM|SO-368|29|112|28|250|48|329|22.7 N|31.7 E|LITTROW, A
153-23490|23490|153|MM|SO-368|29|111|29|250|50|342|23.4 N|32.1 E|LITTROW A, D
153-23491|23491|153|MM|SO-368|29|111|28|250|48|339|23.1 N|31.6 E|LITTROW, A
153-23492|23492|153|MM|SO-368|29|111|28|250|49|338|23.3 N|31.1 E|LITTROW A
153-23493|23493|153|MM|SO-368|29|111|28|250|49|350|23.5 N|31.5 E|LITTROW A
153-23494|23494|153|MM|SO-368|29|111|28|250|46|351|23.1 N|31.3 E|LITTROW A
153-23495|23495|153|MM|SO-368|29|111|28|250|44|354|23.0 N|31.0 E|LITTROW A
153-23496|23496|153|MM|SO-368|29|111|26|250|55|352|25.0 N|30.1 E|LE MONNIER
153-23497|23497|153|MM|SO-368|29|111|27|250|55|357|25.1 N|30.2 E|LE MONNIER
153-23498|23498|153|MM|SO-368|29|110|27|250|49|006|23.9 N|30.6 E|LITTROW, N OF
154-23600|23600|154|QQ|2485|01|247|09|80|52|206|08.4 N|37.1 E|CAUCHY A, B
154-23601|23601|154|QQ|2485|01|250|07|80|35|232|16.2 N|35.8 E|MARALDI, D, E, M, VITRUVIUS A, H
154-23602|23602|154|QQ|2485|01|251|04|80|40|264|19.2 N|32.7 E|MARALDI, VITRUVIUS, LITTROW
154-23603|23603|154|QQ|2485|01|254|04|80|36|244|17.1 N|32.4 E|MARALDI, E, VITRUVIUS A, B, C, H
154-23604|23604|154|QQ|2485|01|258|04|80|48|200|09.6 N|31.9 E|SINAS
154-23605|23605|154|QQ|2485|01|259|02|80|27|262|19.3 N|30.5 E|LITTROW, VITRUVIUS, A, B, L
154-23606|23606|154|QQ|2485|01|260|02|80|29|234|17.0 N|30.7 E|VITRUVIUS, A, B, JANSEN F, L
154-23607|23607|154|QQ|2485|01|260|02|80|44|205|11.5 N|30.5 E|JANSEN F, T
154-23618|23618|154|QQ|2485|02|261|03|80|13|273|19.9 N|30.5 E|LITTROW, B, VITRUVIUS E
154-23619|23619|154|QQ|2485|02|262|03|80|10|272|19.8 N|30.3 E|LITTROW, A, B, VITRUVIUS E
154-23620|23620|154|QQ|2485|02|263|03|80|04|281|19.8 N|30.3 E|LITTROW, B, VITRUVIUS E
159-23918|23918|159|XX|2485|26|||55||||31.0 E|APOLLO 17 LANDING SITE, RED FILTER
159-23919|23919|159|XX|2485|26|||55||||31.0 E|APOLLO 17 LANDING SITE, RED FILTER
