NASA PHOTO NO. AS17-|photo_num|mag_number|mag_code|film_type|sun_elevation|lens_mm|EVA|DESCRIPTION|||
147-22578|22578|147|A|SO-368|16|60|1|STA ALSEP|||
147-22579|22579|147|A|SO-368|16|60|1|STA ALSEP|||
147-22580|22580|147|A|SO-368|16|60|1|STA ALSEP|||
147-22581|22581|147|A|SO-368|16|60|1|STA ALSEP|||
147-22582|22582|147|A|SO-368|16|60|1|STA ALSEP, RADIOTHERMAL GENERATOR|||
147-22583|22583|147|A|SO-368|16|60|1|STA ALSEP, RADIOTHERMAL GENERATOR|||
147-22584|22584|147|A|SO-368|16|60|1|STA ALSEP, RADIOTHERMAL GENERATOR|||
147-22585|22585|147|A|SO-368|16|60|1|STA ALSEP, CENTRAL STATION|||
147-22586|22586|147|A|SO-368|16|60|1|STA ALSEP, CENTRAL STATION|||
147-22587|22587|147|A|SO-368|16|60|1|STA ALSEP, CENTRAL STATION|||
147-22588|22588|147|A|SO-368|16|60|1|STA ALSEP, PAN|||
147-22589|22589|147|A|SO-368|16|60|1|STA ALSEP, PAN|||
147-22590|22590|147|A|SO-368|16|60|1|STA ALSEP, PAN|||
147-22591|22591|147|A|SO-368|16|60|1|STA ALSEP, PAN|||
147-22592|22592|147|A|SO-368|16|60|1|STA ALSEP, PAN|||
147-22593|22593|147|A|SO-368|16|60|1|STA ALSEP, PAN|||
147-22594|22594|147|A|SO-368|16|60|1|STA ALSEP, PAN|||
147-22595|22595|147|A|SO-368|16|60|1|STA ALSEP, PAN|||
147-22596|22596|147|A|SO-368|16|60|1|STA ALSEP, PAN|||
147-22597|22597|147|A|SO-368|16|60|1|STA ALSEP, PAN DRILL|||
147-22598|22598|147|A|SO-368|16|60|1|STA ALSEP, PAN, DRILL, CDR|||
147-22599|22599|147|A|SO-368|16|60|1|STA ALSEP, PAN, DRILL, CDR|||
147-22600|22600|147|A|SO-368|16|60|1|STA ALSEP, PAN, LRV|||
147-22601|22601|147|A|SO-368|16|60|1|STA ALSEP, PAN|||
147-22602|22602|147|A|SO-368|16|60|1|STA ALSEP, PAN, LRV|||
147-22603|22603|147|A|SO-368|16|60|1|STA ALSEP, PAN, LRV|||
147-22604|22604|147|A|SO-368|16|60|1|STA ALSEP, PAN|||
147-22605|22605|147|A|SO-368|16|60|1|STA ALSEP, CENTRAL STATION|||
147-22606|22606|147|A|SO-368|16|60|1|STA ALSEP, CENTRAL STATION|||
136-20682|20682|136|H|3401|16|60|1|STA ALSEP, LRV SEAT, OVEREXPOSED|||
136-20683|20683|136|H|3401|16|60|1|STA ALSEP, PAN|||
136-20684|20684|136|H|3401|16|60|1|STA ALSEP, PAN|||
136-20685|20685|136|H|3401|16|60|1|STA ALSEP, PAN|||
136-20686|20686|136|H|3401|16|60|1|STA ALSEP, PAN|||
136-20687|20687|136|H|3401|16|60|1|STA ALSEP, PAN|||
136-20688|20688|136|H|3401|16|60|1|STA ALSEP, PAN|||
