Bibcode|Year|Title|Authors|Publication|Volume|Issue|Page|Abstract|DOI|Samples
2012Icar..219...48M|2012|Mid-infrared spectra of differentiated meteorites (achondrites): Comparison with astronomical observations of dust in protoplanetary and debris disks|Morlok, Andreas, Koike, Chiyoe, Tomeoka, Kazushige, Mason, Andrew, Lisse, Carey, Anand, Mahesh, Grady, Monica|Icarus|219|1|48||http://dx.doi.org/10.1016/j.icarus.2012.02.018|72555|
2012AGUFMGP51B..03T|2012|The decline of the ancient lunar core dynamo|Tikoo, S. M., Weiss, B. P., Fuller, M., Gattacceca, J., Shuster, D. L., Grove, T. L.|AGU Fall Meeting Abstracts|||GP51B|||76535|
2012LPI....43.2416N|2012|Redetermination of the Sm-Nd Age and Initial Epsilon-Nd of Lunar Troctolite 76535: Implications for Lunar Crustal Development|Nyquist, L. E., Shih, C. -Y., Reese, Y. D.|Lunar and Planetary Science Conference|43|1659|2416|||76535|
2012epsc.conf..778W|2012|The Lunar Core Dynamo|Weiss, B. P., Suavet, C., Tikoo, S. M., Shuster, D. L., Grove, T. L., Gattacceca, J., Fuller, M. D.|European Planetary Science Congress 2012|||EPSC2012|||76535|
2012E&PSL.337...93T|2012|Magnetic fidelity of lunar samples and implications for an ancient core dynamo|Tikoo, Sonia M., Weiss, Benjamin P., Buz, Jennifer, Lima, Eduardo A., Shea, Erin K., Melo, Gabriela, Grove, Timothy L.|Earth and Planetary Science Letters|337||93||http://dx.doi.org/10.1016/j.epsl.2012.05.024|76535|
2012AGUFM.P43B1930H|2012|Water in a young Moon constrained from ferroan anorthosites|Hui, H., Peslier, A. H., Zhang, Y., Neal, C. R.|AGU Fall Meeting Abstracts|||P43B|||76535|
2012LPI....43.1036Z|2012|SIMS Pb/Pb Ages of Baddeleyite and Zirconolite in Apollo 17 Norite 78235: Implications for Shock Histories of Extraterrestrial Rocks|Zhang, A. C., Taylor, L. A., Wang, R. C., Li, Q. L., Li, X. H., Patchen, A. D., Liu, Y.|Lunar and Planetary Science Conference|43|1659|1036|||78235|
2012LPI....43.2622S|2012|Trace Element Geochemistry of Apollo Sample 78236: Possible Connections with Other Mg-Suite Norites|Simmons, S. T., Lapen, T. J.|Lunar and Planetary Science Conference|43|1659|2622|||78236|
2012LPI....43.1223T|2012|Abundant Apatite in Granulite 79215: Spoor of Another Volatile-Rich Lunar Fluid|Treiman, A. H., Gross, J.|Lunar and Planetary Science Conference|43|1659|1223|||79215|
2012GeCoA..77..135F|2012|Osmium isotope and highly siderophile element constraints on ages and nature of meteoritic components in ancient lunar impact rocks|Fischer-Gödde, Mario, Becker, Harry|Geochimica et Cosmochimica Acta|77||135||http://dx.doi.org/10.1016/j.gca.2011.11.014|79215|
